timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204133.571,-151.367,-27.344,-38.086,-176.758,0.000
1700204133.575,-199.707,-26.367,-32.715,-119.629,0.000
1700204133.579,47.852,-27.832,-28.320,103.516,0.000
1700204133.583,136.719,-27.832,-30.273,79.590,0.000
1700204133.587,-68.359,-27.344,-29.297,-132.324,0.000
1700204133.591,-234.863,-26.855,-28.320,-171.875,0.000
1700204133.595,-25.879,-32.715,-29.297,67.383,0.000
1700204133.599,134.277,-38.574,-24.902,117.188,0.000
1700204133.603,-7.812,-39.062,-26.855,-73.242,0.000
1700204133.607,-244.141,-38.574,-24.902,-203.613,0.000
1700204133.610,-95.215,-39.062,-22.461,0.488,0.000
1700204133.614,133.301,-38.574,-29.785,135.742,0.000
1700204133.618,73.242,-40.039,-31.738,-24.902,0.000
1700204133.622,-197.754,-40.039,-36.621,-222.168,0.000
1700204133.626,-162.598,-34.180,-31.738,-81.543,0.000
1700204133.630,93.750,-33.691,-24.414,133.789,0.000
1700204133.634,120.117,-37.109,-30.762,37.598,0.000
1700204133.638,-134.277,-39.551,-28.320,-183.105,0.000
1700204133.642,-218.750,-41.504,-17.090,-146.484,0.000
1700204133.646,29.297,-43.457,-20.508,86.914,0.000
1700204133.649,134.766,-44.434,-33.691,81.543,0.000
1700204133.653,-58.594,-43.945,-36.133,-132.812,0.000
1700204133.657,-238.281,-40.039,-31.250,-197.754,0.000
1700204133.661,-31.738,-36.621,-27.832,42.480,0.000
1700204133.665,153.320,-33.203,-30.273,120.605,0.000
1700204133.669,31.738,-30.273,-29.785,-67.871,0.000
1700204133.673,-228.027,-32.227,-28.809,-216.309,0.000
1700204133.677,-107.910,-35.645,-26.855,-20.020,0.000
1700204133.681,125.000,-35.156,-22.949,132.324,0.000
1700204133.685,78.613,-34.180,-24.902,-7.812,0.000
1700204133.689,-189.941,-32.715,-29.785,-199.219,0.000
1700204133.692,-182.617,-31.738,-27.344,-79.590,0.000
1700204133.696,70.312,-31.738,-24.414,123.535,0.000
1700204133.700,114.258,-35.156,-28.809,47.363,0.000
1700204133.704,-114.746,-44.434,-28.809,-163.574,0.000
1700204133.708,-218.750,-40.039,-27.832,-155.273,0.000
1700204133.712,27.832,-31.738,-28.320,83.008,0.000
1700204133.716,157.715,-30.762,-21.484,89.355,0.000
1700204133.720,-26.855,-36.621,-24.414,-124.023,0.000
